Wort,Trump,Hitler,Biden,Bush,Obama
pressure,18,10,22,16,18
pretend,19,10,1,1,5
pretending,2,2,1,1,1
pretty,196,1,12,6,24
prevail,6,16,2,9,1
prevent,38,47,36,30,52
prevented,1,11,3,5,5
preventing,3,6,3,8,7
prevention,4,2,7,5,1
previous,17,10,16,2,11
price,245,3,132,17,28
pride,22,18,27,7,17
primarily,4,10,2,1,2
primary,135,15,8,9,1
prime,48,1,18,12,9
principal,6,17,3,6,8
principle,21,267,23,40,59
prior,40,1,7,3,1
priority,24,2,12,25,31
prison,147,5,7,15,11
prisoner,30,1,2,10,5
private,59,17,57,26,43
privilege,15,10,8,8,8
probably,415,31,18,4,16
problem,574,190,62,63,120
proceed,5,3,1,3,4
process,58,92,58,17,54
produce,9,26,18,15,17
produced,26,24,4,5,6
producing,7,8,6,5,1
product,59,43,42,9,35
production,29,22,23,9,11
productive,3,11,12,3,7
profession,1,20,2,2,3
professional,26,12,15,8,11
profit,2,6,19,4,20
profound,5,53,22,4,14
progress,15,59,114,67,128
progressive,5,10,8,1,4
prohibition,1,2,1,1,1
project,14,8,28,10,31
promise,92,14,86,46,116
promised,31,6,19,8,17
promising,12,3,5,7,4
promote,6,18,9,16,23
promoting,2,8,4,7,7
promotion,1,4,2,1,6
pronounced,1,9,1,1,2
proof,18,42,8,1,7
propaganda,5,166,2,1,3
proper,11,12,1,2,2
properly,35,11,3,2,3
property,17,12,8,7,1
proportion,4,16,3,1,3
proposal,1,9,25,15,52
propose,1,1,10,26,7
proposed,5,5,20,9,20
prospect,1,23,4,8,13
prosperity,17,11,7,26,70
protect,209,15,145,63,81
protected,26,17,21,10,12
protecting,40,3,27,15,13
protection,49,31,40,12,22
protective,5,5,2,1,1
protects,4,3,5,4,5
protest,26,27,2,1,12
proud,255,12,51,46,40
prove,26,45,7,2,9
proved,9,63,1,2,7
provide,20,20,99,53,67
provided,4,23,29,10,11
provides,2,8,9,9,7
providing,4,10,36,27,23
province,2,17,1,10,1
provision,6,6,4,4,10
public,83,245,101,37,65
publicly,10,8,3,2,7
pull,18,2,15,1,15
pulled,25,3,5,6,6
pump,20,2,12,1,2
purchase,12,2,5,7,5
purchasing,1,1,2,2,1
purpose,27,193,16,31,40
pursue,7,12,8,20,49
pursued,1,14,3,4,4
pursuing,4,4,2,13,7
pursuit,1,4,5,7,21
push,16,9,12,1,17
pushing,57,4,9,1,20
put,835,132,144,36,159
putting,81,23,30,7,24
qualified,17,6,8,2,2
quality,13,82,29,10,25
quarter,26,34,17,2,11
question,230,243,100,44,107
quick,65,3,7,3,6
quickly,209,29,36,20,18
quiet,10,5,2,8,10
quit,16,1,2,1,5
quite,69,125,23,1,2
quote,33,2,49,6,2
race,179,219,26,5,64
racial,23,132,8,2,13
radical,494,18,3,14,3
rage,7,10,2,2,2
raging,12,3,4,3,2
raid,15,1,2,7,1
rail,1,1,47,4,6
raise,88,24,77,14,61
raised,46,28,22,6,15
raising,13,4,28,10,13
rallied,1,2,4,6,3
rally,155,7,4,3,7
ran,145,3,39,2,20
range,1,1,32,4,9
rank,7,47,16,2,2
rapid,29,8,9,2,3
rapidly,31,16,17,1,8
rare,3,16,9,2,2
rate,112,3,97,14,67
rather,59,194,19,5,34
ray,2,4,2,2,1
rd,48,2,9,1,1
reach,15,34,40,26,75
reached,26,38,15,7,10
reaching,4,7,3,2,16
read,104,53,27,14,17
readiness,1,15,1,1,1
reading,31,24,3,13,8
ready,109,64,40,14,18
real,232,123,124,17,55
realistic,1,3,4,2,3
reality,3,73,14,10,18
really,1110,97,153,13,34
reason,317,230,104,18,74
reasonable,7,7,2,4,5
recall,1,10,4,1,5
receive,11,12,13,17,21
received,37,51,14,13,12
receiving,6,3,4,3,1
recent,39,6,17,16,19
recently,65,5,14,10,14
recommendation,6,2,4,10,2
recommended,1,7,5,2,1
reconciliation,5,1,5,7,6
record,457,3,74,19,25
recover,6,3,16,6,15
recovered,5,3,1,1,5
recovery,7,6,53,14,47
recruit,2,16,1,7,7
red,60,50,24,6,16
reduce,17,2,64,21,53
reduced,14,7,14,3,8
reducing,9,3,19,7,16
reform,54,17,10,109,191
refuse,47,12,9,5,21
refused,29,15,8,4,8
regain,2,4,2,2,2
regard,10,105,15,2,5
regardless,5,6,6,2,16
regime,10,37,1,111,30
region,9,13,32,62,81
regional,1,3,6,4,9
register,12,2,4,1,1
regulation,133,4,1,9,26
reign,19,5,2,1,1
reinforcement,2,4,1,4,2
reject,11,9,5,9,26
rejected,28,12,4,1,11
related,10,1,8,2,3
relation,7,42,7,5,17
relationship,93,6,11,5,21
relative,8,4,16,3,2
release,101,2,10,6,6
relentless,3,1,3,3,7
reliable,2,4,2,7,2
reliance,11,1,2,1,1
relief,13,6,17,51,12
religion,20,37,4,7,31
religious,51,84,6,21,14
rely,10,1,4,2,9
remain,89,64,22,18,38
remained,2,52,3,1,2
remaining,7,5,7,4,3
remains,14,28,15,16,29
remark,3,12,5,2,9
remarkable,1,5,3,1,9
remember,691,27,103,22,42
remembered,7,15,3,4,4
remind,3,6,13,11,17
reminded,3,3,6,4,13
removal,10,4,1,2,1
remove,18,6,5,6,12
removing,8,7,3,3,4
renewed,2,5,4,8,8
rent,4,1,7,2,1
repair,4,5,11,2,9
repeat,19,10,8,2,15
repeatedly,13,5,6,1,4
replace,12,6,6,7,14
report,118,10,33,24,14
reported,45,3,10,3,2
reporter,20,1,5,2,1
represent,22,15,8,9,12
representative,58,75,30,18,22
represented,24,26,7,4,6
representing,23,8,9,1,1
represents,11,22,6,3,9
repression,2,2,2,6,8
republic,31,52,6,5,6
republican,613,8,140,17,168
request,22,3,10,5,5
require,17,4,40,30,44
required,11,9,18,13,18
requirement,7,3,73,3,2
requires,4,3,13,36,29
rescue,23,2,61,13,7
rescued,2,2,1,4,4
reserve,24,11,28,6,5
resolute,4,12,2,4,1
resolution,1,12,5,25,12
resolve,6,4,8,32,30
resource,23,16,41,28,43
respect,207,41,49,44,58
respected,251,4,3,4,8
respond,1,1,37,8,19
responded,3,1,3,7,5
response,9,6,44,22,13
responsibility,3,73,30,73,137
responsible,21,55,17,21,37
rest,68,47,69,13,35
restaurant,6,5,16,1,2
restoration,2,15,5,1,4
restore,131,13,24,3,31
restored,16,10,3,1,4
restoring,7,5,6,1,5
restriction,9,4,6,3,2
result,97,246,48,47,39
resulted,1,27,3,1,1
resume,5,7,3,1,2
retail,2,1,1,2,2
retired,4,4,3,3,3
retreat,6,3,2,14,2
return,32,21,24,41,25
returned,10,15,2,6,3
returning,19,2,1,4,3
revenue,9,1,7,6,12
reverse,17,12,1,2,12
review,12,2,9,10,8
reviewed,2,1,2,4,1
revolution,6,122,2,5,25
rhetoric,2,2,1,3,3
rich,92,5,3,2,17
rid,154,4,8,5,7
right,2483,222,436,125,520
rigorous,3,4,4,3,5
rise,7,35,18,24,22
rising,22,7,28,14,27
risk,17,27,85,23,50
risked,5,2,5,2,1
risking,2,1,3,2,2
river,12,4,12,3,4
road,39,34,94,16,47
robust,2,8,3,1,2
rock,17,4,6,1,5
role,13,13,16,16,37
room,201,21,88,13,21
root,9,19,3,7,13
rose,6,1,3,10,3
roughly,1,2,9,2,5
round,12,20,3,2,9
route,14,9,5,2,3
row,54,3,2,1,2
ruin,27,27,4,7,6
rule,74,32,44,27,100
run,402,43,27,25,33
running,305,3,34,12,13
rural,3,1,14,2,16
rushed,3,3,1,1,3
russia,693,60,73,6,16
russian,40,24,32,1,7
s,1,3,13,15,10
sacred,24,34,33,3,14
sacrifice,8,84,8,29,34
sacrificed,2,17,8,2,7
sacrificing,8,4,1,2,2
sadly,23,2,5,1,4
safe,152,4,76,32,47
safeguard,3,17,4,5,7
safely,9,4,13,2,10
safer,19,1,25,21,18
safety,48,3,40,19,29
said,4010,73,391,56,170
sailor,1,1,1,2,1
sake,27,31,11,5,11
sanction,25,4,26,7,22
save,191,19,64,37,55
saved,135,16,7,9,17
saving,42,8,38,26,37
saw,363,38,54,29,40
say,2625,115,345,63,177
saying,443,18,80,13,32
scale,24,30,9,7,8
scar,3,1,2,1,1
scattered,1,2,1,1,1
scene,11,11,4,4,8
scholar,15,1,1,3,1
school,314,77,241,105,152
science,6,20,28,34,55
scientific,3,20,10,9,7
scientist,14,2,26,27,23
scope,2,8,2,2,5
score,5,1,5,4,7
sea,5,9,10,3,3
search,13,5,15,15,7
searching,2,2,1,2,2
seat,66,13,8,1,14
second,315,76,102,39,57
secret,33,33,11,7,12
secretary,87,6,70,49,24
secure,131,23,16,40,56
secured,5,20,7,2,4
securing,1,17,1,9,5
security,177,19,88,231,245
see,1219,106,279,90,205
seed,5,8,1,2,3
seeing,64,22,55,9,22
seek,21,14,20,38,54
seeking,3,5,16,7,13
seem,22,16,9,7,18
seemed,8,84,1,3,1
seems,25,38,12,7,12
seen,587,29,80,48,96
seize,5,2,4,6,14
seized,2,5,1,4,3
self,3,14,5,4,3
sell,61,3,11,6,15
selling,30,2,4,3,5
senate,129,3,104,23,36
send,234,6,43,30,44
sending,75,1,7,3,10
sense,134,86,31,15,85
sensitive,4,2,1,1,1
sent,124,23,13,28,35
separate,12,7,6,1,5
september,5,6,24,52,11
series,9,14,5,9,12
serious,43,42,47,23,40
seriously,32,25,9,4,6
serve,16,81,30,46,49
served,7,25,35,9,35
service,77,113,134,54,50
serving,5,10,15,14,12
session,4,4,5,8,6
set,178,83,52,51,107
setback,1,2,1,3,9
setting,23,8,12,3,8
settlement,9,10,2,1,7
seven,139,19,41,16,15
several,6,45,33,8,24
severe,6,9,23,6,4
shadow,7,3,6,6,23
shake,11,6,2,4,7
shall,3,71,7,1,11
shape,51,20,12,6,30
shaped,4,5,2,5,7
share,22,18,83,39,90
shared,7,3,26,9,30
sharp,13,5,1,1,3
shattered,14,5,2,3,1
sheer,1,22,1,1,3
shelter,4,1,15,9,4
shield,15,4,2,7,5
shift,8,1,7,3,16
shining,2,2,3,1,1
ship,56,6,14,5,13
shooting,34,3,4,1,10
shop,4,5,1,2,4
shore,7,1,6,2,31
short,107,42,16,11,14
shortly,34,2,12,2,6
shot,157,4,149,4,24
shoulder,31,19,10,3,12
shouting,5,5,1,1,1
show,252,81,66,55,41
showed,32,35,11,9,7
showing,22,2,13,10,6
shown,19,30,8,14,13
shut,86,5,13,5,13
sick,144,1,13,5,44
side,179,104,35,41,50
sight,10,19,5,4,15
sign,111,39,52,19,39
signal,19,8,2,4,1
signed,91,3,31,10,15
significant,4,9,96,7,11
signing,19,1,20,4,9
silence,72,22,11,3,1
silent,28,8,3,1,3
similar,13,49,9,11,5
simple,146,31,43,5,44
simply,30,46,25,4,45
sin,2,18,1,1,1
since,100,135,123,43,94
sing,2,3,1,1,2
single,250,40,123,27,71
sister,7,2,25,2,17
sit,60,4,25,4,22
sitting,127,6,33,4,12
situation,69,102,35,21,24
six,144,21,49,8,41
size,33,19,13,8,15
skill,3,9,13,24,39
slaughter,4,1,1,1,6
slave,1,16,2,2,8
slavery,1,8,1,5,8
sleep,11,7,5,2,6
sleeping,7,1,1,1,1
slow,14,20,8,4,11
slowly,6,41,1,4,7
small,106,121,60,39,109
smaller,17,21,3,1,6
smith,28,1,1,2,2
socalled,23,101,8,2,1
social,120,191,26,57,38
socialism,17,14,1,1,1
society,14,27,14,71,56
soft,14,1,2,1,1
soil,7,28,1,6,3
sold,54,6,6,4,5
soldier,307,93,14,19,26
solemn,3,9,2,8,2
solid,16,18,4,3,4
solution,2,30,18,11,16
solve,47,10,14,6,43
solved,23,9,2,4,3
solving,10,3,3,1,4
somebody,389,7,15,6,45
somehow,24,5,7,5,22
someone,10,6,59,2,27
something,525,90,111,23,119
sometimes,74,30,23,18,60
son,121,18,61,10,37
song,14,8,1,1,2
soon,197,68,23,12,26
sorrow,1,2,1,9,2
sought,1,5,8,3,7
soul,21,31,30,8,4
sound,103,45,15,12,11
source,14,41,11,30,40
south,176,35,36,14,44
southern,57,6,6,4,4
sovereign,10,27,5,2,11
sovereignty,26,12,5,2,5
soviet,11,6,1,8,11
space,101,16,16,4,69
speak,98,51,53,17,69
speaker,34,27,11,18,32
speaking,47,47,16,4,5
special,141,41,23,14,28
specific,5,4,13,5,14
specifically,7,2,8,1,2
speech,267,44,15,21,21
speed,21,7,45,2,10
spend,66,3,11,18,43
spending,56,1,19,32,57
spent,111,11,40,11,37
spirit,64,158,6,33,49
spoke,70,21,32,4,22
spoken,14,23,24,5,7
sport,58,7,3,4,2
spot,8,7,4,1,5
spread,7,30,33,19,24
spreading,3,12,2,6,2
spring,5,24,5,2,9
square,11,9,6,2,7
squarely,1,1,1,1,6
st,13,2,75,12,41
stability,4,12,14,13,16
stadium,5,1,3,1,3
staff,18,5,52,10,11
stage,93,38,12,10,12
stair,37,2,4,1,3
stake,12,7,20,15,32
stand,300,71,109,55,123
standard,38,23,24,38,40
standing,166,12,49,15,25
star,40,5,5,4,5
start,205,24,70,26,102
started,235,14,52,12,25
starting,92,2,31,9,32
state,1645,884,632,257,405
statement,104,29,7,2,7
station,14,5,31,4,13
status,15,7,7,13,20
stay,107,3,64,18,40
steadfast,1,2,3,4,2
steady,2,18,6,8,6
steel,88,9,15,2,6
step,42,51,98,47,96
stick,34,6,5,1,5
still,177,165,172,55,195
stimulus,2,7,2,2,1
stock,96,43,10,7,13
stolen,38,2,3,1,2
stood,79,25,27,9,20
stop,474,18,84,29,70
stopped,191,3,21,10,16
storm,10,55,51,15,14
story,292,8,47,26,80
straight,56,3,18,2,17
strait,1,2,4,2,2
stranger,1,5,2,5,12
strategy,6,2,14,43,38
street,124,28,46,21,80
strength,114,125,24,35,60
strengthen,18,11,17,28,46
strengthening,1,10,11,9,7
strengthens,1,1,2,2,6
stretch,1,3,2,1,10
strict,8,3,2,1,1
strike,8,30,14,13,22
strong,355,45,49,57,76
stronger,51,38,51,30,48
strongest,67,15,8,1,15
strongly,52,10,8,8,8
struck,9,9,8,3,7
structure,4,47,3,6,2
struggle,10,257,19,34,34
struggling,4,5,10,6,18
stuck,18,4,5,2,6
student,48,15,53,20,111
studied,12,26,1,2,3
study,18,68,32,4,19
stuff,258,5,9,2,7
subject,30,86,4,8,12
substantial,8,1,4,1,4
substitute,2,9,2,3,4
succeed,9,36,11,23,30
succeeded,2,42,3,4,4
success,86,141,16,33,54
successful,75,38,8,18,8
successfully,7,10,4,1,5
sudden,114,14,9,8,6
suffer,11,15,5,7,9
suffered,20,15,4,8,8
suffering,20,31,11,27,14
suggested,1,5,4,2,10
sum,3,8,2,1,5
summer,12,14,15,3,17
summon,2,2,5,1,8
sun,9,5,6,2,3
sunday,8,2,6,4,4
supply,40,14,78,25,9
support,227,70,154,94,149
supported,22,15,18,7,22
supporter,46,12,8,7,4
supporting,16,3,18,9,15
supposed,171,5,8,5,10
suppress,5,5,7,1,2
suppression,28,6,8,1,2
supreme,133,32,30,2,14
sure,169,9,217,54,161
surely,2,22,1,2,25
surplus,2,3,1,3,7
surprise,23,3,10,4,4
surprised,28,12,7,4,2
surrender,51,7,1,4,2
surrounded,10,5,2,1,3
surrounding,5,3,3,6,3
survive,14,4,1,3,3
survived,3,2,2,2,5
suspect,15,3,7,3,3
sustain,10,4,2,6,13
sustained,3,3,6,7,5
sworn,7,1,16,7,6
system,145,116,84,96,176
systematic,3,16,1,1,1
table,26,13,45,6,20
tactic,3,36,1,6,9
take,1429,273,273,110,259
taken,214,137,50,39,51
taking,251,53,76,35,55
talent,19,39,4,6,13
talented,21,2,2,4,3
talk,576,37,132,12,80
talked,101,10,39,5,24
talking,316,12,87,6,41
tariff,189,1,1,3,1
task,24,125,7,24,38
taught,10,28,10,1,10
tax,511,1,276,138,219
taxpayer,17,1,8,19,41
teach,51,23,10,14,13
teacher,31,18,33,15,51
teaching,10,69,4,5,12
tear,39,11,5,3,16
technology,22,3,34,44,82
tell,785,13,115,22,88
telling,93,3,13,2,10
temporarily,1,5,5,1,1
temporary,2,7,6,36,7
ten,80,36,25,10,27
tend,11,9,1,1,4
tendency,4,33,2,1,1
term,170,29,86,20,43
terrible,294,35,11,19,15
territorial,2,26,2,1,1
territory,16,98,14,12,7
terror,42,10,6,124,14
terrorism,8,15,17,29,15
terrorist,130,4,26,245,60
test,71,26,57,24,25
tested,18,1,6,8,12
testing,7,1,35,13,2
th,183,35,94,43,24
thank,1839,6,489,138,166
thanks,73,14,49,34,30
the,53,4,13,1,10
thing,2116,160,437,50,266
think,2608,104,464,30,284
thinking,62,40,13,7,15
third,127,32,43,26,34
though,151,156,40,7,35
thought,414,100,82,20,33
thousand,525,164,96,42,69
threat,139,14,67,87,68
threaten,8,5,6,12,21
threatened,12,15,4,4,19
threatening,17,11,9,4,3
three,641,56,151,45,63
thrive,5,1,5,1,12
thriving,8,1,6,1,9
throughout,45,40,36,25,31
throw,65,10,3,3,2
thursday,13,2,1,2,1
thus,1,336,12,4,2
tie,10,12,2,4,17
time,1705,659,526,221,510
tire,7,3,1,2,2
tired,22,4,17,3,13
title,24,7,4,1,2
today,438,228,409,124,250
together,387,73,206,95,223
told,290,17,75,18,60
tolerate,1,7,1,1,11
toll,1,1,8,1,1
tomorrow,131,8,24,7,35
tone,5,13,1,6,2
took,607,91,65,17,76
tool,9,3,50,16,14
top,191,3,49,7,47
total,107,14,31,6,5
touch,22,4,1,6,8
tough,336,5,19,22,46
towards,1,162,1,3,29
tower,10,1,7,2,2
town,32,30,40,1,31
track,10,1,23,13,13
trade,234,38,18,38,42
tradition,28,24,6,20,25
traffic,12,2,1,1,4
tragedy,14,6,14,11,29
tragic,5,16,2,1,5
trail,11,1,1,1,1
train,20,26,32,17,29
trained,6,35,9,14,8
training,7,97,12,34,35
transfer,1,1,5,2,8
transform,3,16,9,4,5
transformation,2,12,1,2,6
transformed,4,21,1,4,2
travel,62,1,34,10,24
treasury,20,2,5,1,1
treat,49,2,13,9,10
treated,86,11,17,3,8
treating,4,1,3,2,5
treatment,18,6,26,31,16
treaty,2,35,4,6,14
tremendous,290,19,2,4,2
trend,14,9,4,2,18
trial,107,5,8,5,10
tried,72,37,12,8,10
triumph,4,45,2,7,2
troop,64,32,83,81,101
true,270,103,40,25,111
truly,76,3,35,3,20
trust,37,9,24,41,28
trusted,6,1,7,2,1
truth,108,102,74,8,58
try,141,52,46,22,52
trying,275,15,58,22,49
tuesday,66,1,6,1,2
turmoil,4,5,1,1,9
turn,177,82,60,22,54
turned,165,43,18,9,18
turning,15,9,8,9,8
twice,88,2,9,4,10
two,909,195,263,77,190
type,19,32,17,3,3
typically,5,1,2,1,2
tyranny,5,9,3,23,16
tyrant,26,1,1,10,4
u,1431,278,523,277,740
ultimate,20,13,6,6,6
ultimately,39,8,9,4,38
unable,12,20,7,2,8
unchecked,11,3,1,1,1
uncomfortable,1,1,1,1,5
underlying,2,10,1,2,4
undermine,7,9,6,12,2
understand,225,93,74,36,83
understandable,2,2,7,2,3
understanding,10,49,13,4,21
understands,17,4,11,1,2
understood,42,50,16,3,16
unemployment,22,4,51,5,30
unfair,57,2,4,6,7
unfortunately,58,50,7,7,8
uniform,4,26,8,21,22
union,100,35,108,37,62
unique,5,10,9,10,14
unit,5,15,17,9,9
unite,2,6,13,7,5
united,528,41,379,195,264
unity,17,21,13,9,11
universal,19,24,25,4,18
university,25,9,28,4,40
unless,54,62,14,11,15
unlike,43,1,10,5,12
unlimited,20,6,3,2,1
untold,2,3,2,1,2
unwavering,3,1,1,2,2
uphold,33,7,11,7,9
upon,42,202,12,17,53
urban,2,3,11,3,4
urge,1,16,3,16,14
urged,3,8,1,4,2
urgent,11,6,15,14,12
us,48,9,10,6,7
use,313,98,72,51,91
used,374,81,130,39,41
using,69,9,22,17,21
usually,33,16,7,3,2
utility,1,7,10,1,1
valley,12,1,5,3,5
valuable,4,23,4,1,1
value,85,86,37,59,93
various,27,103,2,1,1
vast,18,25,27,9,10
vehicle,45,3,54,4,7
veteran,88,2,98,6,42
vice,51,12,79,15,31
vicious,139,1,2,2,7
victim,19,43,3,13,12
victory,172,79,7,41,18
view,18,153,81,16,23
viewed,2,1,3,1,1
vigorously,2,2,2,1,1
village,4,11,5,3,2
violation,20,4,6,6,4
violence,36,12,53,54,70
violent,80,13,10,12,24
virtue,1,35,1,1,4
vision,13,8,19,17,23
visit,6,6,18,6,12
visited,3,2,9,3,8
vital,8,42,23,29,8
voice,89,18,25,12,52
volunteer,7,22,3,11,10
vote,1435,20,158,29,99
voted,173,9,37,11,9
voter,332,2,25,3,11
voting,206,6,62,2,17
wage,30,26,69,6,78
waging,14,11,1,1,3
wait,126,9,29,7,22
waited,12,5,1,2,3
waiting,65,8,31,3,17
walk,155,7,32,10,32
walking,54,3,20,2,7
wall,354,13,47,9,50
want,3372,49,450,123,378
wanted,385,15,38,7,18
wanting,8,5,1,1,1
war,563,290,150,166,267
warfare,1,10,1,2,4
warned,2,2,1,2,2
warning,6,14,9,7,1
waste,22,5,9,3,18
watch,189,8,19,14,15
watched,86,4,8,6,7
watching,119,4,22,4,22
water,97,8,75,18,31
wave,61,9,8,3,12
way,1527,365,411,149,317
weak,69,45,1,9,4
weakened,7,3,1,1,9
weaker,6,15,2,2,4
weakness,29,38,3,3,2
wealth,24,9,11,9,23
weapon,107,87,24,123,72
wear,18,5,10,6,4
week,444,47,175,23,88
welcome,16,8,24,31,18
welcomed,2,12,2,4,9
welfare,15,21,2,6,6
well,1308,107,545,105,223
went,609,48,98,11,30
west,32,5,28,23,32
western,4,20,9,5,5
whatever,157,28,29,12,32
whenever,15,21,8,4,6
wherever,32,13,12,9,9
whether,110,85,130,19,84
whip,3,1,1,1,3
white,246,26,56,19,46
whole,292,244,109,22,49
whose,115,151,16,17,36
wide,8,4,4,1,1
widely,3,3,5,1,2
wider,1,7,2,3,2
widespread,4,2,6,3,1
wife,102,11,56,10,14
willing,47,25,23,22,59
win,820,36,56,20,33
wind,69,4,33,4,25
window,37,1,10,1,6
winning,148,18,6,6,8
winter,10,12,27,2,6
wisdom,6,26,2,7,11
wise,18,15,2,6,6
wish,57,63,17,22,3
withdraw,5,3,6,1,2
within,125,143,47,30,73
without,143,183,86,59,139
witnessed,14,8,3,7,4
woman,501,25,123,128,205
wonder,115,2,15,1,19
wonderful,167,10,9,3,11
wood,7,2,3,2,1
word,368,116,61,46,84
work,379,260,335,236,483
worked,186,10,53,32,67
worker,190,79,183,109,168
working,215,42,262,83,142
world,1144,354,578,345,461
worried,23,1,30,2,4
worry,59,5,22,12,9
worrying,3,1,5,1,1
worse,190,30,23,7,21
worst,316,31,18,8,33
worth,77,42,12,13,23
would,2184,960,234,183,335
wound,6,7,18,3,6
wounded,24,3,23,7,12
write,46,9,11,5,16
writer,16,19,1,1,3
writing,16,11,3,2,2
written,22,19,15,6,12
wrong,215,39,40,18,29
wrote,24,3,31,8,20
year,2117,302,707,287,709
yes,178,1,71,18,65
yesterday,67,3,42,5,16
yet,182,122,48,120,73
yield,18,4,5,6,1
young,177,131,65,36,165
younger,5,11,1,8,5
youngest,5,1,3,3,3
youth,28,53,4,4,5
zone,23,2,4,6,1
