wort,hitler,bush
abandon,11,9
abandoned,14,1
abandoning,3,2
abandonment,1,2
ability,52,14
able,145,40
ably,1,1
abolition,15,1
abortion,2,2
abroad,13,28
absence,2,1
absolute,36,1
absolutely,42,5
abuse,6,4
abused,5,1
academy,4,6
accept,27,16
acceptable,2,3
acceptance,8,1
accepted,33,5
accepting,3,3
accepts,1,1
accessible,2,2
accident,6,1
accommodating,1,1
accompanied,4,1
accompany,1,2
accomplish,8,2
accomplished,15,8
accomplishment,5,6
according,63,3
account,73,50
accountable,1,6
accounting,1,3
accumulate,1,2
accumulated,2,1
achieve,29,26
achieved,47,20
achievement,33,24
achieves,1,2
achieving,3,3
acid,3,1
acknowledge,10,2
acquire,18,3
across,5,74
act,74,120
acted,16,19
acting,19,9
action,98,52
active,53,11
actively,2,1
activity,110,7
actually,45,5
acute,2,1
add,8,16
added,10,6
adding,1,4
addition,11,10
additional,4,18
address,10,45
addressed,10,5
addressing,3,5
adequate,15,1
adhere,1,2
adjust,1,1
adjusted,1,2
adjustment,1,1
administer,4,1
administering,1,1
administration,21,45
administrator,2,4
admiration,20,1
admire,1,1
admired,2,1
admit,19,2
admitted,21,3
admitting,1,1
adopted,60,4
adopting,12,1
adoption,11,1
adult,10,13
advance,15,48
advanced,11,10
advancement,1,2
advancing,3,5
advantage,42,10
advent,1,1
adversity,3,3
advice,5,3
advise,1,1
advisory,1,1
advocate,5,3
affair,87,3
affect,5,7
affected,16,12
affecting,5,2
affiliated,1,1
afflicted,2,2
afford,10,13
afraid,9,4
africa,3,28
african,5,12
afternoon,6,1
age,50,18
agency,1,27
agent,2,26
aggression,4,8
aggressive,5,13
agile,1,1
agitate,1,1
ago,35,47
agree,6,15
agreed,3,8
agreement,8,20
agricultural,4,2
agriculture,1,1
ahead,8,37
aid,11,45
aided,1,4
aim,165,10
aimed,7,3
aiming,4,2
air,15,17
alarm,4,1
alarming,4,1
alert,2,3
alien,22,4
allegiance,2,1
alliance,135,6
allied,9,3
allow,48,39
allowed,38,14
allowing,16,12
allows,4,8
ally,46,60
almighty,6,2
almost,103,19
alone,96,19
along,35,30
alongside,1,3
already,124,36
also,322,157
alter,13,1
alternative,19,15
always,320,50
amazing,6,5
ambition,7,18
ambitious,3,5
america,15,524
american,18,443
amid,8,2
among,220,23
amongst,2,2
amount,40,8
ample,3,1
amply,1,1
analysis,7,3
ancestor,8,1
ancient,20,3
anew,10,3
anger,10,6
angry,3,3
animal,18,1
animosity,2,1
anniversary,3,3
announce,1,7
announced,8,7
announcement,1,4
announcing,1,5
annual,1,5
another,178,50
answer,38,17
answered,12,4
answering,3,1
anthem,3,1
anticipated,3,2
anxiety,19,1
anxious,7,3
anybody,15,2
anyone,27,11
anything,56,8
anywhere,4,8
apart,35,4
apparatus,5,2
apparent,22,1
appeal,38,4
appear,40,2
appeared,49,1
appeased,1,1
appetite,1,3
applause,4,299
applicant,2,1
applied,17,1
applies,13,1
apply,10,10
applying,3,4
appoint,2,3
appointed,12,2
appreciate,13,51
appreciated,12,1
apprehend,1,1
apprehension,2,1
approach,8,11
approaching,9,3
appropriate,3,5
approval,2,1
approve,2,4
approved,3,4
approximately,3,1
april,2,3
arbitrary,3,2
architect,5,1
area,28,32
argue,2,8
argued,2,3
argument,33,1
arise,26,4
arises,22,1
arm,38,14
armed,11,22
army,138,38
around,30,52
arrest,7,3
arrested,3,5
arrival,6,2
arrive,10,3
arrived,20,6
arrives,2,2
arrogance,3,1
arsenal,1,2
art,78,1
article,8,1
artificial,6,2
ascending,2,1
asia,2,11
asian,1,1
aside,13,10
ask,21,81
asked,19,25
asking,3,8
asleep,1,1
aspect,20,5
aspiration,9,5
assassin,3,4
assassination,2,1
assault,10,2
assembly,22,9
assert,8,1
asserted,7,1
asserting,1,1
asset,6,9
assimilate,1,3
assimilation,4,1
assist,5,4
assistance,21,20
assisted,1,1
associate,6,1
association,59,8
assume,25,5
assuming,7,1
assumption,7,1
assure,16,4
assured,24,1
assuring,4,1
atlantic,1,4
atmosphere,12,1
attack,82,89
attacked,19,11
attacker,2,1
attacking,8,1
attain,19,2
attempt,108,7
attempted,8,2
attempting,4,4
attend,16,1
attending,7,1
attention,89,10
attitude,155,1
attract,16,2
attracted,5,2
attractive,6,1
audience,18,1
august,18,2
author,16,7
authority,140,22
automatic,1,4
automobile,1,2
available,13,17
average,34,7
avert,1,1
avoid,14,9
avoiding,6,1
await,1,2
awaken,11,1
awakened,5,1
awakening,5,2
awarded,1,1
aware,15,1
awareness,2,2
away,65,30
baby,1,12
back,63,74
backed,1,4
background,14,6
backing,5,1
bad,31,7
badge,6,1
balance,19,9
ballot,2,3
ban,1,2
band,11,4
bank,5,16
banner,14,2
barely,5,1
barred,4,1
barrier,7,6
base,18,8
based,59,18
basic,4,26
basis,69,4
baton,1,3
battalion,12,3
battered,1,1
battery,2,3
battle,31,23
battlefield,13,6
battlefront,2,1
battleship,1,1
bay,2,1
bear,39,6
beard,1,1
beating,2,1
beautiful,8,2
became,157,7
become,249,12
becomes,41,4
becoming,41,6
bed,4,4
began,104,14
begin,36,30
beginning,64,27
begun,20,15
behalf,16,5
behind,37,46
being,32,7
belief,61,17
believe,79,82
believed,47,8
bell,1,1
belong,29,1
belongs,18,4
beloved,6,2
bench,2,5
bend,1,1
benefit,18,44
benefited,6,2
berlin,26,6
beside,10,2
best,135,73
betray,3,1
betraying,2,1
better,145,109
beyond,42,32
bias,2,1
big,30,11
bigger,2,2
biggest,1,3
bill,2,84
billion,1,34
binding,2,1
birth,11,11
birthday,1,1
bit,4,1
bitter,33,1
black,20,1
blackmail,2,4
blame,15,3
blaming,1,2
blanket,1,1
bless,2,35
blessed,2,7
blessing,13,2
blew,1,2
blind,20,3
block,1,3
blood,123,7
bloodshed,9,1
bloody,4,1
blow,25,7
blue,2,1
blunt,1,2
board,3,8
body,121,14
bold,3,3
bomb,2,8
bond,6,3
book,48,2
booming,1,1
border,2,101
born,33,13
borrow,1,1
borrowed,3,1
borrowing,1,1
bos,1,1
bottle,1,1
bottom,2,3
bought,5,2
bound,67,6
boundary,6,2
boy,42,8
bracket,1,1
branch,29,5
brand,3,2
branded,5,1
brandenburg,1,1
brave,6,15
bravely,1,2
brazen,2,1
breach,3,2
breadth,1,1
break,37,16
breaking,9,2
breast,2,1
breed,8,2
bribed,1,1
bridge,2,3
brief,2,2
bright,1,2
brightest,1,2
brilliance,1,1
brilliant,14,1
bring,86,63
bringing,27,10
brings,16,12
brink,2,1
britain,84,5
british,74,5
broad,83,11
broadcast,2,3
broader,1,17
broadly,1,2
broadminded,1,1
broke,29,4
broken,40,8
brother,3,2
brotherhood,1,1
brought,79,23
brutal,21,11
brutality,5,5
buckled,1,1
bud,1,1
budget,1,33
build,17,70
building,49,23
built,14,8
bullet,4,3
bully,1,2
burden,14,12
burdened,5,2
bureaucrat,1,2
bureaucratic,3,1
burn,2,2
burning,4,3
business,42,63
busy,8,1
buy,2,16
buying,2,3
c,2,4
cabinet,11,7
calculated,12,2
call,76,40
called,112,38
calling,17,18
callous,2,1
calm,12,7
came,122,26
camp,20,19
campaign,31,16
canal,2,1
candidate,4,4
candle,1,1
cannon,2,1
cannot,184,34
capability,13,8
capable,70,13
capacity,37,4
capital,32,15
capitalism,1,4
captivity,1,3
capture,1,1
captured,1,12
car,1,17
card,4,12
care,26,101
cared,4,2
career,18,10
careful,13,3
carefully,27,6
caring,3,7
carried,83,8
carrier,3,3
carry,64,17
carrying,20,4
case,252,28
cast,11,4
cat,5,2
catastrophic,5,7
catch,2,8
category,6,1
catholic,24,2
caught,2,3
cause,157,68
caused,23,6
cease,21,3
ceasing,3,1
celebrate,2,3
celebration,4,3
cell,6,74
central,32,9
century,65,41
ceremony,3,3
certain,239,20
certainly,55,2
certainty,3,3
chain,6,1
chair,5,2
chairman,21,14
chamber,10,19
champion,42,1
chance,38,30
change,79,57
changed,19,16
changing,9,9
chant,1,1
chaos,6,18
chapter,4,5
character,143,36
characteristic,62,1
charge,12,10
charged,2,6
charitable,3,3
cheaper,1,1
check,7,9
cherish,1,1
cherished,4,2
chief,41,15
child,63,196
childhood,4,2
china,1,12
choice,10,58
choose,10,28
chooses,5,1
choosing,5,4
chose,10,4
chosen,35,9
christian,21,2
christmas,1,3
chronic,2,1
church,36,9
circle,95,1
circumstance,57,9
cite,2,1
citizen,67,165
citizenship,11,14
city,77,55
civic,11,6
civil,33,8
civilian,3,21
claim,26,10
clarity,5,3
clash,5,2
class,165,12
classic,5,1
clean,1,13
clear,83,59
clearcut,6,1
cleared,4,4
clearer,7,2
clearing,1,4
clearly,58,7
clergy,11,1
clerical,5,1
climate,6,3
climb,2,2
cling,4,2
cloak,8,1
clone,1,1
close,27,7
closed,4,2
closely,7,12
closer,10,7
closing,1,2
clothing,2,1
cloud,1,1
coach,1,3
coal,5,3
coalition,25,50
coast,2,29
code,6,10
coerced,1,1
cold,9,8
collapse,69,8
collapsed,6,2
collapsing,1,3
colleague,3,1
collect,5,2
collection,4,5
collective,2,1
college,4,19
colonel,3,1
colonial,24,1
colony,18,1
combat,12,14
combination,7,2
combined,13,3
combining,1,1
come,186,136
comfortable,2,3
coming,27,52
command,16,5
commander,3,21
commenced,4,1
commencing,1,1
commerce,11,3
commission,2,4
commissioned,2,2
commit,5,7
committed,19,15
committee,37,6
committing,1,2
commodity,1,3
common,109,25
communication,3,8
communist,9,1
community,109,57
compact,3,2
companion,11,1
company,19,27
compare,11,2
compared,20,2
compassionate,1,15
compelled,13,1
compels,1,1
compensation,1,1
compete,5,12
competent,10,1
competition,5,6
competitive,1,13
competitor,3,1
complacent,1,1
complement,3,1
complete,42,10
completed,11,1
completely,56,3
complex,2,6
comply,2,4
comprehension,3,1
comprehensive,8,26
compromise,9,1
comrade,29,3
conceal,5,1
concealed,1,3
concede,1,2
concentrate,12,2
concentrated,16,1
concern,22,8
concerned,42,11
concerning,10,3
concerted,1,3
concession,9,3
conclude,4,2
concluded,7,5
conclusion,29,5
conclusive,2,2
condemn,4,2
condemnation,2,1
condemned,9,2
condemning,1,3
condemns,1,1
condescension,1,1
condition,173,16
conduct,53,12
conducted,16,3
conducting,6,4
confederation,2,1
conference,3,4
confidence,28,27
confident,3,21
confidently,1,2
confirm,7,1
confirmation,3,1
confirmed,8,3
conflict,62,25
conflicting,3,1
conformity,4,1
confront,1,33
confronted,11,7
confronting,2,11
congo,1,1
congratulation,1,1
congress,3,183
connecting,1,1
conquer,8,4
conquering,8,1
conquest,13,3
conscience,18,19
consensus,1,1
consequence,88,21
conservation,7,4
conservative,8,7
conserve,2,1
consider,56,13
considerable,6,2
considered,99,4
considering,8,1
consist,5,1
consistent,5,3
consolidate,6,1
consolidated,5,1
conspiracy,4,2
constant,18,2
constantly,28,2
constitute,15,2
constituted,16,1
constitution,25,15
constitutional,9,6
construction,5,2
constructive,14,1
consult,1,1
consumer,1,9
consuming,1,1
consumption,3,1
contact,21,1
contagion,2,2
contained,5,2
contains,1,1
contempt,7,2
content,27,2
contentious,1,1
contest,3,3
context,1,2
continent,18,11
contingent,2,1
continue,49,91
continued,25,8
continues,2,13
continuing,3,8
contract,3,2
contrary,68,2
contrast,15,1
contribute,9,7
contributed,11,1
contributes,6,1
contribution,9,12
control,40,32
controlling,2,4
controversy,7,3
conversation,1,1
convert,6,1
converted,5,1
convey,2,1
conveyed,2,2
conviction,71,15
convince,6,3
convinced,46,1
cool,4,1
cooperate,2,5
cooperation,7,12
coordinate,1,3
cope,3,1
cord,2,4
core,1,2
corner,6,5
corp,5,22
corporate,2,5
corporation,2,3
correct,26,6
correctly,10,1
corrupt,8,1
corruption,9,6
cost,23,44
costly,1,1
could,560,90
council,10,39
counsel,2,4
count,18,2
counted,6,2
counter,6,3
counterpart,4,3
counting,3,1
country,168,319
countryside,2,2
couple,7,5
courage,57,46
courageous,11,5
course,207,41
court,20,14
cover,8,5
covered,6,5
coward,12,1
crack,2,1
crash,1,3
create,22,44
created,45,22
creates,1,5
creating,7,16
creation,17,5
creative,64,4
creator,15,4
credit,5,34
creed,3,6
crew,2,1
crime,20,13
criminal,46,14
crisis,6,36
criterion,2,2
critic,3,9
critical,15,14
criticism,19,6
cross,4,14
crossed,1,3
crossing,4,11
crowd,22,2
crowded,3,1
crucial,2,9
crude,9,3
cruel,4,1
cruelty,3,7
crushed,3,2
cultivating,1,1
cultural,98,1
culture,76,22
cunning,12,1
cure,8,10
cured,6,1
current,18,23
custom,10,7
cut,9,42
daily,50,8
damage,18,2
damaged,1,5
danger,79,63
dangerous,28,26
dare,11,1
daring,5,2
dark,10,6
darkest,1,3
darkness,3,1
data,3,1
date,15,7
dating,1,1
daughter,3,6
david,2,5
day,283,142
de,4,2
dead,24,6
deadly,7,8
deal,45,20
dealing,26,6
dealt,24,2
dear,3,3
dearly,5,1
death,52,32
debate,7,26
debated,1,1
debating,2,3
debt,3,10
decade,12,36
deceit,1,1
deceived,5,2
deceiving,3,3
december,5,1
decency,4,6
decent,16,14
deception,4,2
decide,27,3
decided,50,8
decimated,1,2
decision,78,62
decisive,26,11
decisively,1,4
declaration,6,5
declared,22,15
decline,27,6
declined,4,4
declining,1,3
decrease,3,1
dedicated,2,5
dedicating,1,1
deed,12,1
deemed,5,1
deep,6,15
deeper,10,4
deepest,2,8
deeply,17,8
default,1,1
defeat,29,22
defeated,6,10
defective,12,1
defend,48,51
defended,7,7
defender,8,2
defending,14,5
defensive,13,2
defiance,1,3
define,2,5
defined,8,4
definition,7,3
degree,63,1
delay,2,3
delayed,1,2
deliberate,6,5
deliberately,9,1
deliberation,1,3
deliver,5,14
delivered,21,10
delivering,6,6
demand,66,41
demanded,17,3
demanding,2,4
democracy,69,101
democrat,22,11
democratic,47,41
demonstrate,2,6
demonstrates,1,2
denied,12,6
denounces,1,1
dental,1,1
deny,12,14
departed,2,1
department,13,39
departure,1,1
depend,13,12
dependence,2,4
dependent,20,9
depending,2,1
depends,15,12
depression,3,7
depriving,2,1
depth,9,2
deputy,6,3
derived,4,7
descend,5,1
describe,9,1
described,18,4
description,6,1
desert,6,4
deserve,6,24
deserves,7,7
design,9,8
designed,5,6
designer,1,1
desire,29,12
despair,10,10
desperate,5,1
despicable,10,1
despise,2,2
despite,21,5
despotism,3,1
destined,22,1
destiny,39,6
destroy,26,11
destroyed,22,18
destroying,9,3
destroys,8,3
destruction,47,47
destructive,15,6
detail,17,3
detailed,5,3
detect,2,3
determination,45,11
determine,8,8
determined,55,25
determines,4,1
determining,7,1
deterrent,1,1
devastating,7,3
develop,26,27
developed,54,5
developing,16,22
development,130,18
devised,1,2
devote,13,2
devotion,14,1
dialectic,1,1
dictate,8,3
dictator,2,18
dictatorship,9,8
die,21,6
died,9,9
difference,34,22
different,107,51
differently,4,6
difficult,87,41
difficulty,25,2
dignity,17,42
dim,6,1
diminished,1,2
diploma,4,2
diplomacy,6,15
diplomat,8,4
diplomatic,4,6
direct,24,9
directed,43,11
directing,5,2
direction,32,11
directive,1,1
directly,11,9
director,5,10
disadvantage,3,1
disappearing,1,1
disappointed,1,6
disappointment,2,9
disarm,2,15
disarmament,7,4
disarmed,1,2
disarming,4,4
disaster,21,17
disbelief,1,1
discarded,3,3
discipline,20,3
disclose,2,3
disclosed,3,1
discord,3,2
discouraged,3,2
discouragement,2,1
discouraging,1,2
discourse,2,1
discover,15,4
discovered,25,4
discovering,2,1
discovery,14,4
discredit,1,1
discriminate,1,3
discrimination,2,1
discus,9,13
discussed,10,1
discussing,3,6
discussion,34,6
disease,36,36
disintegrated,1,1
disintegration,17,1
disloyal,1,1
dismissed,1,1
dispersed,2,1
displaced,1,5
display,9,1
displayed,20,1
disposal,17,1
dispute,12,1
disrupt,1,7
disruption,7,6
distance,6,4
distant,6,6
distinct,6,1
distinction,13,3
distinguished,4,14
distorted,2,1
distribute,2,1
distributing,1,1
district,27,7
diverse,3,3
divided,6,2
dividend,1,3
dividing,1,1
division,20,11
doctor,3,25
doctrine,77,3
document,6,5
dog,8,1
dogged,2,1
dogma,8,1
domestic,11,8
dominate,12,7
dominated,7,1
dominating,2,1
domination,15,1
donated,1,1
donation,1,1
done,89,55
doomed,22,2
door,12,5
dos,1,1
dose,1,2
double,2,12
doubled,1,7
doubt,25,12
doubted,2,1
dozen,7,9
dr,12,5
draft,1,3
drag,11,1
dramatic,2,9
drastic,4,1
drastically,1,1
draw,24,5
drawing,10,4
drawn,13,5
dread,2,1
dream,16,24
dress,1,1
drill,3,1
drive,9,9
driven,13,3
driver,1,3
driving,8,2
drop,9,1
dropped,3,5
drove,5,2
drug,1,69
drunk,1,1
dull,1,1
durable,3,1
duration,2,3
dust,2,1
duty,124,48
dwelling,4,1
dying,4,8
dynamic,2,4
e,1,1
eagerly,5,1
ear,12,2
earlier,11,4
early,44,17
earn,10,6
earned,2,7
earnings,7,2
earth,60,16
earthly,6,1
ease,7,4
easier,23,9
easily,66,2
east,10,94
eastern,11,6
easy,21,16
eat,3,2
eaten,1,1
ebb,1,1
echo,2,1
economic,169,79
economics,9,1
economy,6,121
edifice,9,1
editorial,1,2
educate,9,1
educated,13,4
educating,3,1
education,92,36
educational,26,1
edward,2,1
effect,128,5
effective,36,29
effectively,13,9
effectiveness,5,5
efficiency,22,1
efficient,16,5
effort,108,103
egg,2,5
egypt,4,8
egyptian,1,3
eight,18,14
eighty,4,1
either,54,6
elderly,1,4
elected,7,16
election,19,43
electoral,3,1
electric,1,6
element,140,11
elementary,8,1
eleven,4,1
eligible,1,4
eliminate,5,10
eliminated,10,1
eliminating,6,5
elite,1,3
eloquent,2,1
else,46,2
elsewhere,17,4
embodied,6,2
embrace,8,3
emerge,4,7
emerged,8,2
emerging,1,5
emotion,4,1
emotional,8,3
empire,60,8
employ,14,3
employed,52,2
employee,17,16
employer,21,21
employment,11,1
emptied,2,1
empty,10,3
enable,20,2
enables,7,1
enacted,4,1
encounter,3,2
encourage,3,28
encouragement,1,1
encourages,1,3
encouraging,7,12
end,207,59
endanger,1,1
endangered,1,1
ended,7,16
ending,3,9
endless,10,2
endowed,18,1
endowment,2,6
endurance,6,1
endure,19,2
enduring,6,3
enemy,164,116
energetic,9,1
energy,52,46
enforce,4,6
enforced,5,4
enforcement,2,35
enforcing,2,2
engage,7,1
engaged,13,10
engagement,2,1
engine,1,1
engineer,4,5
engineering,2,1
england,7,2
english,9,3
enhance,2,2
enjoy,7,3
enlisted,1,1
ennobled,1,1
enormous,30,3
enough,42,25
enrich,2,2
enriched,1,2
enrolled,2,2
ensure,5,43
ensures,2,1
ensuring,4,2
enter,24,9
entered,21,4
entering,10,5
enterprise,18,15
enters,8,2
enthusiasm,39,2
entire,12,13
entirely,55,2
entrusted,14,1
environment,5,10
envy,7,1
epic,1,1
epidemic,3,1
equal,34,12
equality,12,2
equally,17,4
equip,2,1
equipment,8,9
equipped,2,2
equivalent,2,1
era,15,9
erasing,1,1
error,20,3
escape,7,5
escaped,2,1
especially,126,19
essential,62,30
essentially,11,1
establish,37,20
established,51,3
establishes,4,1
establishment,27,5
estimate,15,1
eternally,1,2
eternity,2,1
ethical,4,19
europe,73,23
european,30,8
evacuation,1,2
evade,1,1
even,470,67
evening,26,17
event,47,13
eventual,1,1
eventually,23,9
ever,88,24
everlasting,9,1
every,270,238
everybody,25,3
everyone,23,11
everything,82,16
everywhere,19,12
evidence,20,15
evident,19,1
evil,60,37
exactly,11,6
exaggerated,3,1
examine,15,4
examining,2,1
example,82,27
excellence,4,2
except,41,5
exceptional,5,3
excess,3,2
excessive,5,1
