wort,hitler,obama
posterity,20,2
postpone,2,2
potential,1,34
pounce,1,1
poured,4,1
poverty,9,55
power,296,160
powerful,19,27
powerless,3,2
practical,111,14
practice,58,17
praise,10,5
praised,6,1
pray,5,8
prayed,1,2
prayer,4,10
preach,1,1
preached,1,2
precaution,3,1
precious,8,10
precise,12,2
precisely,10,13
precision,1,1
preconceived,3,1
precondition,2,1
predatory,1,1
predecessor,2,4
predict,1,1
prefer,4,4
preferable,2,1
preference,2,3
pregnancy,1,5
pregnant,1,1
prejudice,12,3
preliminary,26,1
premise,6,3
prepare,14,10
prepared,26,19
prepares,4,2
preparing,11,5
prerequisite,24,1
prescription,2,16
presence,12,5
present,191,10
presented,38,4
presenting,7,1
preserve,36,7
preserving,12,2
president,7,268
press,100,11
pressed,4,1
pressure,10,18
presume,2,3
presumed,7,1
pretence,7,1
pretend,10,5
pretending,2,1
pretty,1,24
prevail,16,1
prevailed,4,2
prevails,2,2
prevent,47,52
prevented,11,5
preventing,6,7
prevention,2,1
preventive,2,6
prevents,6,7
previous,10,11
previously,20,4
price,3,28
pride,18,17
priest,10,1
primarily,10,2
primary,15,1
prime,1,9
principal,17,8
principle,267,59
print,4,3
prior,1,1
priority,2,31
prison,5,11
prisoner,1,5
pristine,1,1
private,17,43
privately,1,3
privilege,10,8
probably,31,16
probe,3,1
problem,190,120
procedure,10,1
proceed,3,4
process,92,54
proclaim,10,2
proclaimed,10,1
produce,26,17
produced,24,6
producing,8,1
product,43,35
production,22,11
productive,11,7
productivity,3,4
prof,9,1
profession,20,3
professional,12,11
profit,6,20
profitable,6,9
profound,53,14
profoundly,19,6
progeny,2,1
progress,59,128
progressed,1,1
progressive,10,4
prohibited,3,5
prohibiting,2,1
prohibition,2,1
prohibits,1,1
project,8,31
prolonged,3,2
prominent,2,4
promise,14,116
promised,6,17
promising,3,4
promote,18,23
promoted,3,2
promoting,8,7
promotion,4,6
pronounced,9,2
proof,42,7
propaganda,166,3
proper,12,2
properly,11,3
property,12,1
prophet,6,1
proportion,16,3
proposal,9,52
propose,1,7
proposed,5,20
proposes,1,1
proprietor,1,1
prospect,23,13
prosper,3,7
prosperity,11,70
protect,15,81
protected,17,12
protecting,3,13
protection,31,22
protective,5,1
protects,3,5
protest,27,12
protested,3,1
proud,12,40
prove,45,9
proved,63,7
provide,20,67
provided,23,11
providence,10,1
provides,8,7
providing,10,23
province,17,1
provincial,10,1
provision,6,10
provisional,1,1
provocation,7,2
provoked,4,2
prowess,6,1
prudent,1,2
public,245,65
publicity,1,1
publicly,8,7
publish,1,1
pull,2,15
pulled,3,6
pump,2,2
purchase,2,5
purchasing,1,1
purity,12,2
purpose,193,40
pursue,12,49
pursued,14,4
pursues,4,2
pursuing,4,7
pursuit,4,21
push,9,17
pushed,8,8
pushing,4,20
put,132,159
putting,23,24
q,1,14
qualification,7,1
qualified,6,2
quality,82,25
quarter,34,11
queen,4,4
question,243,107
questioned,2,2
quick,3,6
quicker,2,2
quickly,29,18
quiet,5,10
quietly,4,1
quit,1,5
quite,125,2
quitter,1,2
quo,3,17
quote,2,2
race,219,64
racial,132,13
rack,3,1
radical,18,3
rage,10,2
raging,3,2
raid,1,1
rail,1,6
railroad,1,11
railway,5,1
rain,2,3
raise,24,61
raised,28,15
raising,4,13
rallied,2,3
rally,7,7
rallying,3,2
rampant,1,1
ran,3,20
rang,1,1
range,1,9
rank,47,2
rapid,8,3
rapidly,16,8
rare,16,2
rarely,7,8
rat,4,1
rate,3,67
rather,194,34
rational,3,3
raw,3,3
ray,4,1
rd,2,1
reach,34,75
reached,38,10
reaching,7,16
react,1,1
reacted,2,1
read,53,17
readiness,15,1
reading,24,8
ready,64,18
real,123,55
realistic,3,3
reality,73,18
really,97,34
realm,8,1
reaping,3,1
reason,230,74
reasonable,7,5
reasoned,2,2
reasoning,7,1
reassured,1,1
rebellion,5,1
recall,10,5
receipt,2,1
receive,12,21
received,51,12
receives,10,1
receiving,3,1
recent,6,19
recently,5,14
receptive,1,1
recipe,2,4
recipient,2,3
reckoning,4,1
recognition,29,14
recommendation,2,2
recommended,7,1
reconciliation,1,6
reconstruction,4,1
record,3,25
recorded,1,1
recover,3,15
recovered,3,5
recovering,1,5
recovery,6,47
recrimination,1,2
recruit,16,7
red,50,16
reduce,2,53
reduced,7,8
reduces,1,3
reducing,3,16
reestablishing,6,1
refer,1,1
refined,1,1
reflect,5,16
reflected,7,2
reflecting,1,3
reflection,5,6
reflective,1,1
reform,17,191
reformer,4,1
refuge,5,1
refusal,15,1
refuse,12,21
refused,15,8
regain,4,2
regard,105,5
regardless,6,16
regime,37,30
region,13,81
regional,3,9
register,2,1
regret,6,3
regrouped,1,1
regular,3,1
regulate,1,2
regulating,5,1
regulation,4,26
reich,208,2
reign,5,1
reigned,4,2
rein,5,6
reinforce,9,2
reinforcement,4,2
reinforcing,2,1
reject,9,26
rejected,12,11
rejecting,2,3
rejection,2,6
related,1,3
relates,1,1
relation,42,17
relationship,6,21
relative,4,2
relax,1,1
release,2,6
relentless,1,7
reliable,4,2
reliance,1,1
relied,5,2
relief,6,12
relies,1,2
relieved,1,2
religion,37,31
religious,84,14
reluctance,3,1
rely,1,9
relying,1,3
remain,64,38
remained,52,2
remaining,5,3
remains,28,29
remark,12,9
remarkable,5,9
remarked,1,1
remember,27,42
remembered,15,4
remembering,4,1
remembrance,1,1
remind,6,17
reminded,3,13
reminder,1,5
remnant,3,3
removal,4,1
remove,6,12
removed,11,11
removing,7,4
render,22,1
rendered,28,2
renewed,5,8
renounce,8,1
rent,1,1
reopening,1,1
repair,5,9
repay,1,4
repeat,10,15
repeated,19,2
repeatedly,5,4
repeating,4,3
replace,6,14
report,10,14
reported,3,2
reporter,1,1
represent,15,12
representative,75,22
represented,26,6
representing,8,1
represents,22,9
repression,2,8
republic,52,6
republican,8,168
reputation,4,1
request,3,5
require,4,44
required,9,18
requirement,3,2
requires,3,29
requisite,14,1
rescue,2,7
rescued,2,4
reserve,11,5
reserved,4,2
reservoir,1,3
reshape,1,1
resign,3,1
resist,6,4
resistance,74,6
resisted,1,2
resolute,12,1
resolution,12,12
resolve,4,30
resolved,4,3
resort,6,2
resource,16,43
respect,41,58
respected,4,8
respective,11,3
respond,1,19
responded,1,5
responds,1,2
response,6,13
responsibility,73,137
responsible,55,37
responsive,1,3
rest,47,35
restaurant,5,2
rested,3,1
resting,1,1
restoration,15,4
restore,13,31
restored,10,4
restoring,5,5
restraint,1,3
restrict,4,3
restricted,7,1
restricting,3,1
restriction,4,2
result,246,39
resulted,27,1
resulting,12,1
resume,7,2
resurgence,10,2
retail,1,2
retain,13,2
retire,3,6
retired,4,3
retiring,1,1
retreat,3,2
retribution,8,1
return,21,25
returned,15,3
returning,2,3
reunited,1,1
reveal,5,1
revealed,8,2
revenue,1,12
reverend,1,10
reverse,12,12
reversed,2,3
review,2,8
reviewed,1,1
revise,1,1
revive,3,3
revolution,122,25
revolutionary,41,2
reward,9,21
rewarded,2,14
rhetoric,2,3
rich,5,17
richard,1,1
richer,1,2
rid,4,7
ridicule,8,1
rift,4,1
rig,1,5
right,222,520
righteous,3,1
rightful,1,1
rightly,10,4
rigid,8,4
rigorous,4,5
ripe,5,2
rise,35,22
risen,2,4
rising,7,27
risk,27,50
risked,2,1
risking,1,2
risky,2,5
ritter,1,2
rival,12,4
river,4,4
road,34,47
rob,2,5
robbed,12,1
robs,1,1
robust,8,2
rock,4,5
role,13,37
rome,7,1
room,21,21
root,19,13
rooted,2,17
rooting,2,1
rope,1,1
rose,1,3
rot,1,3
rotten,1,1
rough,5,2
roughly,2,5
round,20,9
route,9,3
routed,1,1
routine,4,4
row,3,2
royal,7,2
ruin,27,6
rule,32,100
ruling,14,2
run,43,33
rung,3,1
running,3,13
rural,1,16
rush,3,4
rushed,3,3
russia,60,16
russian,24,7
ruthless,26,2
ruthlessly,12,1
s,3,10
sa,1,1
sabotage,4,1
sacred,34,14
sacrifice,84,34
sacrificed,17,7
sacrificing,4,2
saddle,1,2
sadly,2,4
safe,4,47
safeguard,17,7
safeguarding,5,1
safely,4,10
safer,1,18
safety,3,29
said,73,170
sailing,2,1
sailor,1,1
sake,31,11
salary,6,12
salvation,4,4
sanction,4,22
sanctioned,2,2
sand,1,1
sang,1,2
sank,4,2
sap,1,2
sapping,1,1
sat,4,6
satisfaction,10,3
satisfied,10,2
satisfying,2,2
saturday,1,6
save,19,55
saved,16,17
saving,8,37
saw,38,40
say,115,177
saying,18,32
scale,30,8
scandal,4,1
scapegoat,1,1
scar,1,1
scarcely,39,3
scare,4,5
scared,1,1
scattered,2,1
scene,11,8
scheduled,1,1
scheme,9,1
scholar,1,1
school,77,152
schooling,4,1
science,20,55
scientific,20,7
scientist,2,23
scope,8,5
scorching,1,1
score,1,7
scorn,5,2
scourge,16,3
scrap,1,2
screw,1,1
scrutiny,2,2
sea,9,3
seaboard,1,1
sealed,3,1
search,5,7
searching,2,2
seat,13,14
seated,1,1
second,76,57
secondary,13,2
secret,33,12
secretarial,1,2
secretary,6,24
secure,23,56
secured,20,4
secures,2,2
securing,17,5
security,19,245
see,106,205
seed,8,3
seeing,22,22
seek,14,54
seeking,5,13
seem,16,18
seemed,84,1
seemingly,1,2
seems,38,12
seen,29,96
seize,2,14
seized,5,3
selecting,6,2
selective,3,1
self,14,3
selfdetermination,1,10
selfevident,1,5
selfinterest,2,1
sell,3,15
selling,2,5
senate,3,36
send,6,44
sending,1,10
sens,2,1
sense,86,85
sensed,1,1
senseless,7,5
sensibility,3,1
sensible,4,5
sensitive,2,1
sent,23,35
separate,7,5
separated,4,2
separating,2,1
separation,1,4
september,6,11
serf,9,10
series,14,12
serious,42,40
seriously,25,6
seriousness,3,1
servant,20,9
serve,81,49
served,25,35
service,113,50
serving,10,12
session,4,6
set,83,107
setback,2,9
setting,8,8
settle,8,10
settled,10,6
settlement,10,7
settler,1,1
settling,4,1
seven,19,15
seventeen,6,1
seventh,1,1
several,45,24
severe,9,4
severely,1,3
sexual,6,5
shackle,2,2
shade,1,1
shadow,3,23
shadowy,1,1
shake,6,7
shaken,4,4
shall,71,11
shallow,1,1
shape,20,30
shaped,5,7
shaping,4,4
share,18,90
shared,3,30
sharp,5,3
sharply,4,1
shattered,5,1
shatters,1,1
shed,21,9
shedding,2,1
sheer,22,3
sheet,1,2
shell,7,1
shelter,1,4
shield,4,5
shift,1,16
shifted,1,4
shine,3,1
shining,2,1
ship,6,13
shirk,1,2
shook,2,2
shoot,5,2
shooting,3,10
shop,5,4
shore,1,31
short,42,14
shortcoming,5,2
shorter,4,1
shortly,2,6
shortsightedness,3,1
shot,4,24
shoulder,19,12
shout,10,4
shouting,5,1
show,81,41
showed,35,7
showered,1,1
showing,2,6
shown,30,13
shrapnel,3,1
shrine,1,2
shudder,2,1
shun,3,1
shut,5,13
sick,1,44
side,104,50
siege,1,1
sight,19,15
sign,39,39
signal,8,1
signature,3,2
signed,3,15
significant,9,11
signing,1,9
silence,22,1
silenced,1,1
silent,8,3
silently,6,3
silly,3,4
silver,3,2
similar,49,5
simple,31,44
simplify,1,3
simply,46,45
sin,18,1
since,135,94
sincerely,6,1
sing,3,2
singing,5,4
single,40,71
singular,2,3
singularly,1,1
sinner,1,2
sister,2,17
sit,4,22
sitting,6,12
situation,102,24
six,21,41
sixteen,2,1
sixty,9,3
size,19,15
skill,9,39
skilled,5,2
skin,1,5
slaughter,1,6
slaughtered,1,3
slave,16,8
slavery,8,8
sleep,7,6
sleeping,1,1
sleepless,1,1
slide,2,2
slight,13,1
slightest,34,1
slightly,1,1
slipped,2,3
slogan,21,2
slow,20,11
slowly,41,7
small,121,109
smaller,21,6
smallest,13,1
smile,3,2
smith,1,2
smoke,1,2
smooth,1,3
smoothly,1,1
snow,2,3
soap,1,1
soaring,1,3
socalled,101,1
social,191,38
socialism,14,1
socialist,154,2
society,27,56
soft,1,1
soil,28,3
sold,6,5
soldier,93,26
sole,38,2
solely,19,4
solemn,9,2
solid,18,4
solidarity,18,4
solution,30,16
solve,10,43
solved,9,3
solving,3,4
somebody,7,45
somehow,5,22
someone,6,27
something,90,119
sometimes,30,60
somewhere,6,8
son,18,37
song,8,2
soon,68,26
sooner,22,6
sorrow,2,2
sorry,4,2
sort,26,3
sought,5,7
soul,31,4
sound,45,11
sounded,1,2
source,41,40
south,35,44
southern,6,4
sovereign,27,11
sovereignty,12,5
soviet,6,11
sow,3,2
sowed,2,1
sown,5,1
space,16,69
span,2,5
spare,3,4
spared,2,1
spark,2,5
speak,51,69
speaker,27,32
speaking,47,5
speaks,4,10
special,41,28
specific,4,14
specifically,2,2
spectacle,10,2
speculation,5,1
speculative,2,1
speculator,1,1
speech,44,21
speed,7,10
spell,4,1
spend,3,43
spending,1,57
spends,2,5
spent,11,37
spirit,158,49
spirited,1,1
spite,19,1
split,5,1
spoke,21,22
spoken,23,7
sport,7,2
spot,7,5
spread,30,24
spreading,12,2
spring,24,9
spurred,1,2
squabbling,2,1
squandered,1,1
square,9,7
squarely,1,6
st,2,41
stability,12,16
stable,4,13
stadium,1,3
staff,5,11
stage,38,12
stagnation,1,1
stain,2,2
stained,2,1
stair,2,3
stake,7,32
stalwart,2,1
stamp,12,6
stamped,3,3
stand,71,123
standard,23,40
standing,12,25
star,5,5
stared,1,2
stark,1,3
start,24,102
started,14,25
starting,2,32
starved,1,1
state,884,405
statement,29,7
statesman,46,2
station,5,13
status,7,20
stay,3,40
steadfast,2,2
steadily,40,4
steady,18,6
steal,6,8
stealing,1,2
steel,9,6
stem,1,5
step,51,96
sterling,1,1
stick,6,5
sticking,1,2
stiff,1,1
still,165,195
stimulus,7,1
stir,3,4
stirred,5,2
stirring,2,1
stock,43,13
stolen,2,2
stone,10,2
stood,25,20
stop,18,70
stopped,3,16
store,9,3
storm,55,14
story,8,80
straight,3,17
straightforward,2,6
strain,4,6
strained,1,4
strait,2,2
strange,7,1
stranger,5,12
stranglehold,1,1
strategy,2,38
stream,2,1
street,28,80
strength,125,60
strengthen,11,46
strengthened,11,12
strengthening,10,7
strengthens,1,6
stress,5,5
stretch,3,10
stretching,1,1
stricken,2,1
strict,3,1
strife,11,4
strike,30,22
striking,22,1
string,1,1
strive,12,6
strives,7,1
striving,8,10
strong,45,76
stronger,38,48
strongest,15,15
stronghold,1,2
strongly,10,8
struck,9,7
structural,1,1
structure,47,2
struggle,257,34
struggled,2,5
struggling,5,18
stuck,4,6
student,15,111
studied,26,3
study,68,19
studying,7,1
stuff,5,7
stumble,1,2
sturdy,3,2
style,8,2
subject,86,12
subjected,12,1
subjecting,1,1
subjugating,2,1
subjugation,2,1
submit,19,4
subscribed,1,1
subsidized,1,2
substance,11,2
substantial,1,4
substitute,9,4
subtle,2,1
succeed,36,30
succeeded,42,4
succeeds,6,3
success,141,54
successful,38,8
successfully,10,5
successive,4,3
successor,3,1
succumb,6,1
succumbed,5,1
sudden,14,6
suddenly,61,12
suffer,15,9
suffered,15,8
suffering,31,14
suffers,3,1
suggested,5,10
suggesting,1,8
suggestion,11,5
suggests,1,5
suitable,16,1
sum,8,5
summer,14,17
summon,2,8
summoned,1,1
sun,5,3
sunday,2,4
sung,2,4
supplant,2,1
supply,14,9
support,70,149
supported,15,22
supporter,12,4
supporting,3,15
supposed,5,10
suppress,5,2
suppressing,1,2
suppression,6,2
supreme,32,14
sure,9,161
surely,22,25
surest,3,3
surface,8,7
surplus,3,7
surprise,3,4
surprised,12,2
surprising,8,2
surrender,7,2
surrendered,3,2
surrounded,5,3
surrounding,3,3
survey,3,1
survival,3,2
survive,4,3
survived,2,5
suspect,3,3
suspicion,8,8
sustain,4,13
sustained,3,5
sustenance,1,1
sweep,1,1
sweeping,2,6
sweet,1,5
swept,1,3
sword,21,3
swore,1,1
sworn,1,6
swung,2,1
symbol,24,3
symbolic,5,3
symptom,31,1
system,116,176
systematic,16,1
systematically,24,1
table,13,20
tackled,3,1
tackling,1,3
tactic,36,9
tail,1,1
take,273,259
taken,137,51
taking,53,55
tale,3,2
talent,39,13
talented,2,3
talk,37,80
talked,10,24
talking,12,41
talmud,1,1
tangible,5,2
tariff,1,1
task,125,38
taste,5,1
tasted,2,1
taught,28,10
tavern,3,1
tax,1,219
taxpayer,1,41
teach,23,13
teacher,18,51
teaching,69,12
tear,11,16
tearing,1,1
technical,29,5
technology,3,82
tell,13,88
telling,3,10
temperament,5,1
tempered,1,1
temple,6,2
temporarily,5,1
temporary,7,7
temptation,5,3
tempting,1,5
ten,36,27
tend,9,4
tended,7,1
tendency,33,1
tends,9,1
tension,3,16
tenth,3,1
term,29,43
terrible,35,15
terrific,1,6
terrifying,3,2
territorial,26,1
territory,98,7
terror,10,14
terrorism,15,15
terrorist,4,60
test,26,25
testament,3,4
tested,1,12
testimony,3,1
testing,1,2
th,35,24
thank,6,166
thanked,2,2
thanks,14,30
that,2,4
the,4,10
theft,1,1
theory,27,3
thereby,64,3
therefore,225,4
thing,160,266
think,104,284
thinking,40,15
third,32,34
thirst,2,1
thirty,12,6
this,1,2
thorough,13,1
thoroughly,23,1
though,156,35
thought,100,33
thoughtful,1,4
thousand,164,69
threat,14,68
threaten,5,21
threatened,15,19
threatening,11,3
threatens,9,5
three,56,63
threequarters,2,2
threw,4,2
thrill,3,1
thrive,1,12
thrives,1,2
thriving,1,9
throat,2,1
throughout,40,31
throw,10,2
throwing,2,2
thrown,18,1
thursday,2,1
thus,336,2
tie,12,17
tied,1,1
tightening,1,1
till,3,2
tilt,1,1
time,659,510
timely,1,2
timidity,6,1
tiny,5,1
tire,3,2
tired,4,13
title,7,2
today,228,250
together,73,223
toil,3,3
told,17,60
tolerance,7,10
tolerant,1,1
tolerate,7,11
tolerates,1,1
toll,1,1
tomorrow,8,35
tone,13,2
took,91,76
tool,3,14
top,3,47
torch,5,3
torn,9,8
tornado,1,1
torture,1,7
tortured,3,1
total,14,5
touch,4,8
touching,4,3
touchstone,1,1
tough,5,46
towards,162,29
tower,1,2
town,30,31
trace,15,3
traced,2,1
track,1,13
trade,38,42
tradition,24,25
traditional,14,5
traffic,2,4
tragedy,6,29
tragic,16,5
trail,1,1
train,26,29
trained,35,8
training,97,35
tranquillity,1,1
transaction,4,1
transcends,2,2
transcript,1,2
transfer,1,8
transferred,7,1
transform,16,5
transformation,12,6
transformed,21,2
transforming,6,1
travel,1,24
travelled,2,1
travelling,1,1
tread,2,1
treasure,3,3
treasury,2,1
treat,2,10
treated,11,8
treating,1,5
treatment,6,16
treaty,35,14
tree,6,3
trek,1,2
tremendous,19,2
trench,10,1
trend,9,18
trial,5,10
tribal,2,2
tribe,4,10
tribute,6,8
tried,37,10
triple,11,2
triumph,45,2
triumphed,4,4
trivial,4,3
troop,32,101
trouble,20,8
true,103,111
truest,3,1
truly,3,20
trust,9,28
trusted,1,1
truth,102,58
try,52,52
trying,15,49
tuesday,1,2
turbulent,2,1
turkey,3,3
turmoil,5,9
turn,82,54
turned,43,18
turning,9,8
twelve,8,1
twentieth,3,1
twenty,17,8
twentythree,2,1
twice,2,10
twilight,1,4
twisted,1,1
two,195,190
twothirds,1,2
type,32,3
typical,19,6
typically,1,2
tyranny,9,16
tyrant,1,4
u,278,740
ultimate,13,6
ultimately,8,38
unable,20,8
unbreakable,1,2
uncertain,8,8
uncertainty,11,9
unchecked,3,1
uncomfortable,1,5
uncommon,1,1
undaunted,1,1
undeniable,1,1
undergoing,2,1
underlying,10,4
undermine,9,2
undermined,2,1
undermines,1,2
undermining,7,1
understand,93,83
understandable,2,3
understanding,49,21
understands,4,2
understood,50,16
undisciplined,1,1
undoubtedly,15,3
unemployed,4,11
unemployment,4,30
unending,1,1
unequivocally,1,1
unfair,2,7
unfeasible,1,1
unfinished,1,3
unfolds,1,2
unfortunately,50,8
unified,1,4
uniform,26,22
uniformity,11,1
union,35,62
unique,10,14
unit,15,9
unite,6,5
united,41,264
unites,3,2
unity,21,11
universal,24,18
universe,4,2
university,9,40
unjust,10,3
unless,62,15
unlike,1,12
unlimited,6,1
unparalleled,5,3
unpleasant,11,1
unpopular,2,2
unsafe,1,1
unseen,1,4
unspeakable,3,1
unstable,5,3
unsure,1,1
unto,3,4
untold,3,2
untouched,1,2
unwanted,1,1
unwavering,1,2
unwelcome,3,1
unwilling,2,3
unworthy,10,1
upheld,7,1
uphold,7,9
upholding,2,6
upholds,1,1
upon,202,53
upset,1,1
urban,3,4
urge,16,14
urged,8,2
urgency,1,9
urgent,6,12
us,9,7
usa,3,5
use,98,91
used,81,41
useful,17,6
usher,1,5
using,9,21
usual,10,11
usually,16,2
utility,7,1
valley,1,5
valuable,23,1
value,86,93
valued,3,1
vanish,1,2
varied,4,1
variety,3,1
various,103,1
vast,25,10
vehicle,3,7
venture,1,1
verdict,2,3
verge,3,3
versa,6,1
verse,2,1
vessel,17,1
veteran,2,42
vice,12,31
vicious,1,7
victim,43,12
victor,9,2
victory,79,18
view,153,23
viewed,1,1
viewpoint,1,1
vigorous,10,2
vigorously,2,1
vile,3,1
village,11,2
violated,2,3
violation,4,4
violence,12,70
violent,13,24
violently,5,1
virtue,35,4
visible,16,3
vision,8,23
visionary,9,1
visit,6,12
visited,2,8
visiting,2,2
visitor,1,1
vital,42,8
vitality,8,2
vitriol,1,1
vocational,5,1
voice,18,52
void,2,1
volunteer,22,10
volunteered,1,4
vote,20,99
voted,9,9
voter,2,11
voting,6,17
wage,26,78
waged,15,3
waging,11,3
wagon,1,1
wait,9,22
waited,5,3
waiting,8,17
waitress,1,2
walk,7,32
walking,3,7
wall,13,50
wallowing,1,1
wandering,2,1
want,49,378
wanted,15,18
wanting,5,1
war,290,267
warfare,10,4
warm,2,3
warned,2,2
warning,14,1
wartime,4,1
waste,5,18
wasted,3,4
wasting,1,1
watch,8,15
watched,4,7
watching,4,22
water,8,31
wave,9,12
waver,3,5
wavered,1,1
wavering,8,1
waving,1,4
way,365,317
we,3,22
weak,45,4
weaken,6,12
weakened,3,9
weakening,8,2
weaker,15,4
weakness,38,2
wealth,9,23
weapon,87,72
wear,5,4
weary,1,4
wedge,2,1
week,47,88
weighed,5,3
weight,8,7
welcome,8,18
welcomed,12,9
welfare,21,6
well,107,223
wellbeing,5,2
wellknown,3,2
welloff,1,7
wellqualified,1,1
went,48,30
west,5,32
western,20,5
whatever,28,32
wheel,2,1
whenever,21,6
whereas,52,1
whereby,18,1
wherever,13,9
whether,85,84
whip,1,3
whispered,1,1
white,26,46
whoever,8,4
whole,244,49
whose,151,36
wide,4,1
widely,3,2
widening,1,1
wider,7,2
widespread,2,1
wield,4,1
wife,11,14
wild,10,1
will,2,3
willing,25,59
willingly,4,1
willingness,4,14
wilson,1,3
win,36,33
wind,4,25
window,1,6
wine,1,1
wing,2,1
winning,18,8
winter,12,6
wipe,7,2
wiped,6,2
wire,1,1
wisdom,26,11
wise,15,6
wisely,3,6
wish,63,3
wished,21,1
wishful,1,2
with,1,1
withdraw,3,2
withdrew,3,1
withering,2,1
within,143,73
without,183,139
withstand,7,1
witness,12,5
witnessed,8,4
woe,3,1
woke,3,1
woman,25,205
wonder,2,19
wondered,8,3
wonderful,10,11
wont,1,33
wood,2,1
woodrow,1,1
word,116,84
wore,2,1
work,260,483
worked,10,67
worker,79,168
working,42,142
workingclass,3,3
world,354,461
worldly,3,1
worn,4,2
wornout,2,1
worried,1,4
worry,5,9
worrying,1,1
worse,30,21
worship,5,8
worshipper,1,1
worst,31,33
worth,42,23
worthy,17,16
would,960,335
wound,7,6
wounded,3,12
woven,2,1
wrangling,1,3
wrecked,4,1
wretch,2,2
write,9,16
writer,19,3
writing,11,2
written,19,12
wrong,39,29
wrote,3,20
wrought,2,1
yahoo,1,1
yawning,4,1
year,302,709
yearn,4,4
yearning,22,3
yelling,3,1
yellow,2,1
yes,1,65
yesterday,3,16
yet,122,73
yield,4,1
yoke,7,1
young,131,165
younger,11,5
youngest,1,3
youth,53,5
youthful,5,1
zionist,3,2
zone,2,1
do,2,1
